video,time,text,likes,term,clean_text,sentiment
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"m suffering from dengue .... weakness boht aa gyi h ..sans proper nahi aati...loose motion immediately after eating food...5-6 times motions in a day... platelet 1.10 lakh...cbr 16


Doctor please make a video on how to recover or suggest something what i do .... mentally boht preshaan ho raha hu kahi marr hi na jau jldi",,dengue,"m suffering from dengue  weakness boht aa gyi h sans proper nahi aatiloose motion immediately after eating food56 times motions in a day platelet 110 lakhcbr 16


doctor please make a video on how to recover or suggest something what i do  mentally boht preshaan ho raha hu kahi marr hi na jau jldi",negative
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,sir dengue ke mosquitoes day mai. hi kat te hai kya....ye sach hai kya,,dengue,sir dengue ke mosquitoes day mai hi kat te hai kyaye sach hai kya,neutral
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Dengue treatment share kare,,dengue,dengue treatment share kare,positive
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Aap ne 25 din pahle hi bata diya tha dengue tsunami k baare  me,,dengue,aap ne 25 din pahle hi bata diya tha dengue tsunami k baare  me,neutral
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Aap bilkul sahi bataye hamesa corona me bhi aur aaj dengue k time bhi you are great,,dengue,aap bilkul sahi bataye hamesa corona me bhi aur aaj dengue k time bhi you are great,positive
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Hamare yha allahabd mai dengue k patient ko orange juice chada diye bataeye aaj kl doctor,,dengue,hamare yha allahabd mai dengue k patient ko orange juice chada diye bataeye aaj kl doctor,neutral
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Patanjali giloy advance vati regular lijiye no tension for Dengue,,dengue,patanjali giloy advance vati regular lijiye no tension for dengue,positive
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Don't take meftal complication can Rise in dengue just take lot of electrol coconut water ,sponging can help, fluids as paracetomal only decreases by a degree,high grade fever in dengue shall remain for 3 days u can't help it. Its a very stubborn fever in First few days",,dengue,dont take meftal complication can rise in dengue just take lot of electrol coconut water sponging can help fluids as paracetomal only decreases by a degreehigh grade fever in dengue shall remain for 3 days u cant help it its a very stubborn fever in first few days,negative
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Thank you sir for dengue fever topic
Good night sir 🙏🏼",,dengue,"thank you sir for dengue fever topic
good night sir",positive
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Sir, T cyte syrup le sakte hain Dengue mein?",,dengue,sir t cyte syrup le sakte hain dengue mein,neutral
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Sukriya sirji dengue ka achchi jakari k liye. Shubh ratri sir🙏,,dengue,sukriya sirji dengue ka achchi jakari k liye shubh ratri sir,neutral
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Thank you sir for dengue fever topic. Nice information.,,dengue,thank you sir for dengue fever topic nice information,positive
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Sir itiching bhi hoti hai kya dengue ke recovery phase mei.,,dengue,sir itiching bhi hoti hai kya dengue ke recovery phase mei,neutral
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,Sir  2saal phele dengue hua tha....plate late 20k tak gayi thi....kya antibody banni hogi mere aandar🙏🙏,,dengue,sir  2saal phele dengue hua thaplate late 20k tak gayi thikya antibody banni hogi mere aandar,neutral
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,"Three varient of dengue
Antibody developed only one varient",,dengue,"three varient of dengue
antibody developed only one varient",neutral
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,Sir 2 baar dengue ho chuka hai ab na ho bs 😅,,dengue,sir 2 baar dengue ho chuka hai ab na ho bs,neutral
https://www.youtube.com/watch?v=8zXVlGCx-N4,2 years ago,"In Pakistan, dengue fever is on rise more than ever before",,dengue,in pakistan dengue fever is on rise more than ever before,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,sir mujhe dengue h aur fever continue 4 days se aaraha h kabhi 102 kabhi 101 kabhi kabhi 99 bhi ho jata h mai sirf paracetamol hi liya hun aur bohat sara liquid bhi le rha hun aur dusra koi bhi symptom nhi hai jaise pet dard bhi nhi hai kamjori bhi nhi h jyada sirf pairo m drd h thoda bs fever nhi ja rha h platlates 3rd 62000 aayi h thoda sa guide kr dijiyega ya fir continue aane vale dengue fever pr ek video bana dijiyeg .. plz sir..........,,dengue,sir mujhe dengue h aur fever continue 4 days se aaraha h kabhi 102 kabhi 101 kabhi kabhi 99 bhi ho jata h mai sirf paracetamol hi liya hun aur bohat sara liquid bhi le rha hun aur dusra koi bhi symptom nhi hai jaise pet dard bhi nhi hai kamjori bhi nhi h jyada sirf pairo m drd h thoda bs fever nhi ja rha h platlates 3rd 62000 aayi h thoda sa guide kr dijiyega ya fir continue aane vale dengue fever pr ek video bana dijiyeg  plz sir,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Calcutaa mai belaghata ka swasthya karmic dengue se Mara isi dengue se Mara school 🏫 student dengue se mara 😑 etc har hafte dengue se log mar rahe hai?,,dengue,calcutaa mai belaghata ka swasthya karmic dengue se mara isi dengue se mara school  student dengue se mara  etc har hafte dengue se log mar rahe hai,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Kya dengue fever me  Antibiotics medicine le sakte hai,,dengue,kya dengue fever me  antibiotics medicine le sakte hai,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago (edited),"Sir can a dengue patient get black stool by eating iron tablet and beetroot, please suggest",,dengue,sir can a dengue patient get black stool by eating iron tablet and beetroot please suggest,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago (edited),Dengue virus ( Arbo virus family ) has mainly 4 serotypes (5th one not isolated ) . Majority of the time when you get reinfected along with a different serotype then only you have higher chances of developing DSS or DHF . Btw dengue also have Saddleback fever pattern meaning biphasic fever with an initial peak that remits and appears again after some days like what we have seen in many cases of covid .,,dengue,dengue virus  arbo virus family  has mainly 4 serotypes 5th one not isolated   majority of the time when you get reinfected along with a different serotype then only you have higher chances of developing dss or dhf  btw dengue also have saddleback fever pattern meaning biphasic fever with an initial peak that remits and appears again after some days like what we have seen in many cases of covid,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Hello sir ji.. agar patient ko dubara dengue hua to ..kya hota hai.. kya uske antibodies antigen ke  against kam karte hai kya...  Mene bass suna hai.. please clear kare sir ji,,dengue,hello sir ji agar patient ko dubara dengue hua to kya hota hai kya uske antibodies antigen ke  against kam karte hai kya  mene bass suna hai please clear kare sir ji,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Dengue pehle ekbar  ho chuka , firse dengu hine se jan bachneka chace kitna  hay sir ?",,dengue,dengue pehle ekbar  ho chuka  firse dengu hine se jan bachneka chace kitna  hay sir,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Sir , is it safe to take calpol to control fever in dengue patient ? Since calpol contains a pain killer component. Please  reply yes or no 🙏",,dengue,sir  is it safe to take calpol to control fever in dengue patient  since calpol contains a pain killer component please  reply yes or no,negative
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Jo ye bata rahe hain serious lo jo smjha rahe hain samjh lo ye to khud allopath ki khamiyan nikalte hain aisa allopathic knowledgeable Dr bht kam Dr milte hain bat ye hai ki inke guru sir Dr kk agrawal ji the jb guru dronacharya honge to sisya Arjun hi hoga baki jisko dengue ho jaye to inko mt follow krna na pcm lena bs biswaroop bhagwan ji dwara batai dip diet khate rhna jb mamla gambhir ho jaye tb aa jana allopath me tb tk case bigad Chuka hoga kitne log isi me is bar chale gaye Inka to sukragujar hona chahiye🙏🙏🙏,,dengue,jo ye bata rahe hain serious lo jo smjha rahe hain samjh lo ye to khud allopath ki khamiyan nikalte hain aisa allopathic knowledgeable dr bht kam dr milte hain bat ye hai ki inke guru sir dr kk agrawal ji the jb guru dronacharya honge to sisya arjun hi hoga baki jisko dengue ho jaye to inko mt follow krna na pcm lena bs biswaroop bhagwan ji dwara batai dip diet khate rhna jb mamla gambhir ho jaye tb aa jana allopath me tb tk case bigad chuka hoga kitne log isi me is bar chale gaye inka to sukragujar hona chahiye,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Dengue is life threatening. 

We take it easily.,dangerous. 

Thank you Dr Sahab for good advice 


Jay hind",,dengue,"dengue is life threatening 

we take it easilydangerous 

thank you dr sahab for good advice 


jay hind",positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir dengue ka peak kab aane ka chance hai delhi and western UP mai,,dengue,sir dengue ka peak kab aane ka chance hai delhi and western up mai,positive
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Dengue ka specific treatment kya hai ...ya dengue ka koi ilaaj nhi h kewal symptomatic treatment kiya jata hai ?,,dengue,dengue ka specific treatment kya hai ya dengue ka koi ilaaj nhi h kewal symptomatic treatment kiya jata hai,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir dengue k brand ambassador ban jao,,dengue,sir dengue k brand ambassador ban jao,negative
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir ye dengue kab tak jayega,,dengue,sir ye dengue kab tak jayega,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Bhukaar atta hai toh kidney din mai dengue test karana,,dengue,bhukaar atta hai toh kidney din mai dengue test karana,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir mjhe sirf fever hai aur dengue aur typhoid dono diagnose hua hai...koi aur symptoms nahi hai....kya mjhe satark ho jana cahiye ya jo medicayion doctor ne dia hai wo hi kaafi hai,,dengue,sir mjhe sirf fever hai aur dengue aur typhoid dono diagnose hua haikoi aur symptoms nahi haikya mjhe satark ho jana cahiye ya jo medicayion doctor ne dia hai wo hi kaafi hai,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Mjhe kal dengue diagnose hua hai....per mjhe sirf fever aa raha hai aur koi symptoms nahi hai,,dengue,mjhe kal dengue diagnose hua haiper mjhe sirf fever aa raha hai aur koi symptoms nahi hai,neutral
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Dengue ka machhar night mein bhi hota hai abhi ye bhi new virus aya hai 🙏👍🌷,,dengue,dengue ka machhar night mein bhi hota hai abhi ye bhi new virus aya hai,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mere husband one week se dengue is khatranak bimarise suffer kar rahe hai.
Unka platelets 1:30 hai down hote jare .. plz bolIye me kya karu",,dengue,"mere husband one week se dengue is khatranak bimarise suffer kar rahe hai
unka platelets 130 hai down hote jare  plz boliye me kya karu",negative
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Antibiotics are suitable for dengue patients or not boss?,,dengue,antibiotics are suitable for dengue patients or not boss,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr.sahab m.p. Dengue k lakshan dikh rahe the janch me kuch hi nhi nikla pletes kam ho gayi h khana bilkul bhi achha nahi lagta kya kare,,dengue,drsahab mp dengue k lakshan dikh rahe the janch me kuch hi nhi nikla pletes kam ho gayi h khana bilkul bhi achha nahi lagta kya kare,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Mujhe dengue test positive.. Tha.....per plateus  kam nhi hua..,,dengue,mujhe dengue test positive thaper plateus  kam nhi hua,positive
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Sir mein last year dengue me 28,000 platelet count me ghr me baitha hua tha n uske bd medi li ghr me hi sir recover ho gya shayad mein gym me jaata tha isly",,dengue,sir mein last year dengue me 28000 platelet count me ghr me baitha hua tha n uske bd medi li ghr me hi sir recover ho gya shayad mein gym me jaata tha isly,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Sbse bade dengue tum ho,,dengue,sbse bade dengue tum ho,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Patanjali ka rambaan .....sadang....kisi bhi patanjali store pe miljaayegaa.....dengue mein day first se start ...karein...cytrus fruit khaayein......aaraam poora karein.....koi bhi physical ya mental work se poori tarah alag ho jaayein.....drink Luke warm water .....sadang ko bhi Luke warm water se lein .............8 days mein body recover ho jaayegi.......... knowledge ko aage bhi share karein...,,dengue,patanjali ka rambaan sadangkisi bhi patanjali store pe miljaayegaadengue mein day first se start kareincytrus fruit khaayeinaaraam poora kareinkoi bhi physical ya mental work se poori tarah alag ho jaayeindrink luke warm water sadang ko bhi luke warm water se lein 8 days mein body recover ho jaayegi knowledge ko aage bhi share karein,positive
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mujhe dengue hua to pata chala,,bahut painful hota hai,,but thanks god i m well now🙏bhagwan sabhi ko jaldi thik kar de...aur sabhi ko safe rkhe🙏🙏pls take care all😊",,dengue,mujhe dengue hua to pata chalabahut painful hota haibut thanks god i m well nowbhagwan sabhi ko jaldi thik kar deaur sabhi ko safe rkhepls take care all,positive
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr sahab abhi 15din phale meri beti ko dengue huwa tha ..ab wo thik hai platelets 218000 fourth test mai aayi...ab mujhe uska liver test karwana chahiye kya plz sir bataiye🙏🙏,,dengue,dr sahab abhi 15din phale meri beti ko dengue huwa tha ab wo thik hai platelets 218000 fourth test mai aayiab mujhe uska liver test karwana chahiye kya plz sir bataiye,positive
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mujhe 2014 me Nimisulide tab lene se malaria & dengue mix tha, shirf 13000 platelatecount hi gaye the, baad hospital me admit huva to thik yuva
Sahi baat he pain killer dawa nahi leni chahiye 👍👍",,dengue,"mujhe 2014 me nimisulide tab lene se malaria  dengue mix tha shirf 13000 platelatecount hi gaye the baad hospital me admit huva to thik yuva
sahi baat he pain killer dawa nahi leni chahiye",negative
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dengue me Lariago tab le sakte h kya,,dengue,dengue me lariago tab le sakte h kya,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dengue is spreading like fire,,dengue,dengue is spreading like fire,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,But mujhe dengue hua tha to doctor ne 3 days Meftal forte diya tha. Kya Meftal forte bhi utni hi dangerous hai in dengue.,,dengue,but mujhe dengue hua tha to doctor ne 3 days meftal forte diya tha kya meftal forte bhi utni hi dangerous hai in dengue,negative
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Aapko kuch nahi hua mere bete ko dengue mai hospital mai yahi meftal p diya tha.,,dengue,aapko kuch nahi hua mere bete ko dengue mai hospital mai yahi meftal p diya tha,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Not in dengue,,dengue,not in dengue,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr Sahib you are also wearing a half sleeves please be careful and wear full sleeves shirt for safeguard against dengue fever !!!!,,dengue,dr sahib you are also wearing a half sleeves please be careful and wear full sleeves shirt for safeguard against dengue fever,positive
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago, @allrounder9294  नही भाई dexona ek steroid hai jo dengue ke patient ko nhi diya jata,,dengue,नह भई dexona ek steroid hai jo dengue ke patient ko nhi diya jata,neutral
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Sir humidity toh hai nhi na barish Hui h ,fir dengue kyu ho raha",,dengue,sir humidity toh hai nhi na barish hui h fir dengue kyu ho raha,neutral
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,"Dengue k patients ko Hari papita ka patta ka   juice,  aur bakri ka dudh(Bina boil k), kivi fal khilao din me 3 se 4 baar. 
Aur juice khub pilao. Patients thik ho jayega.",,dengue,"dengue k patients ko hari papita ka patta ka   juice  aur bakri ka dudhbina boil k kivi fal khilao din me 3 se 4 baar 
aur juice khub pilao patients thik ho jayega",neutral
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Alert  high alert dengue fever break out in up please drink warm water regularly and eat healthy food,,dengue,alert  high alert dengue fever break out in up please drink warm water regularly and eat healthy food,positive
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Dengue patient ka mazak bana rahe ho..,,dengue,dengue patient ka mazak bana rahe ho,neutral
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,It´s not dengue and for it you shoud drink nettle tea.,,dengue,its not dengue and for it you shoud drink nettle tea,neutral
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Dengu ki bimariyan to Gujarat ke andar bhi Jod se pakdi hai Hamare dost ke ladke ko dengue ho gaya tha Private hospital mein ki kaarvayi Humne uska kharcha Kari Bam 450000 Upar Ho Gaya,,dengue,dengu ki bimariyan to gujarat ke andar bhi jod se pakdi hai hamare dost ke ladke ko dengue ho gaya tha private hospital mein ki kaarvayi humne uska kharcha kari bam 450000 upar ho gaya,neutral
https://www.youtube.com/watch?v=XSPdjoS6MQE,2 years ago,"Thanku so much  for the information sir , 🙏 mere beti ko 1 bar dengue ho chuki hai ,please share some more information",,dengue,thanku so much  for the information sir   mere beti ko 1 bar dengue ho chuki hai please share some more information,positive
https://www.youtube.com/watch?v=jiMoIKjde38,5 years ago,Chikungunya Virus Easy Home Treatment https://youtu.be/wR4pIHolt6M,,chikungunya,chikungunya virus easy home treatment,positive
https://www.youtube.com/watch?v=KalenYcE5aY,8 years ago,chikungunya es bakchod neha ho hona chaiye,,chikungunya,chikungunya es bakchod neha ho hona chaiye,neutral
https://www.youtube.com/watch?v=KalenYcE5aY,8 years ago,hadd hai yaar dalip panday ke...agar LG supreme hai aur app log kuch nahi kar sakte toh resign kar na kyu free ke paise bana rahe ho kyu 2.5 lakh salary le rahe ho...arey dono mcd aur delhi sarkar kei zimedari hai...dengue ke machar gande pani mein nahi hote..saf pani ji leak hota hai water pipe line sei woh toh jal board ke under atta hai...shame on this politics ke Supreme court ke judgement de ham kuch nahi karenge LG jo bolega woh karenge,,dengue,hadd hai yaar dalip panday keagar lg supreme hai aur app log kuch nahi kar sakte toh resign kar na kyu free ke paise bana rahe ho kyu 25 lakh salary le rahe hoarey dono mcd aur delhi sarkar kei zimedari haidengue ke machar gande pani mein nahi hotesaf pani ji leak hota hai water pipe line sei woh toh jal board ke under atta haishame on this politics ke supreme court ke judgement de ham kuch nahi karenge lg jo bolega woh karenge,positive
https://www.youtube.com/watch?v=vhbzVw9_1Hs,9 months ago,"Hi, 
Your son can get treatment at our centre. We treat filariasis with integrative treatment combining allopathy, ayurveda, yoga and diet.  If possible kindly visit us. To book an appointment please get in touch with Ph:+91 8590125313 / + 91 8547934863
You can also contact us through our whatsApp number and share some photographs of the affected limbs. Our team will evaluate the condition and explain to you the treatment options available in IAD.
WhatsApp Number: 09895588735 Email ID: iadorg@gmail.com",,filariasis,"hi 
your son can get treatment at our centre we treat filariasis with integrative treatment combining allopathy ayurveda yoga and diet  if possible kindly visit us to book an appointment please get in touch with ph91 8590125313   91 8547934863
you can also contact us through our whatsapp number and share some photographs of the affected limbs our team will evaluate the condition and explain to you the treatment options available in iad
whatsapp number 09895588735 email id iadorgcom",positive
https://www.youtube.com/watch?v=xBaoi3cwXiE,1 year ago,"Respect Sir 
Myself Dr Prashant D Bisen (B.A.M.S.)I am A Community Health Officer IN Maharashtra State
I Have 1 Patient of Age 45 year she develope swelling Of Both Leg since 2 month 
Itching in Body
Pain / Discomfort in lower Abdomen
I Suspected Her For Lymphatic Filariasis 
Her blood sample were Taken Yesterday 18/3/24
We were waiting for Slide Observation Report 
But Now in This Condition what will we Do
Can We give a DEC",,filariasis,"respect sir 
myself dr prashant d bisen bamsi am a community health officer in maharashtra state
i have 1 patient of age 45 year she develope swelling of both leg since 2 month 
itching in body
pain  discomfort in lower abdomen
i suspected her for lymphatic filariasis 
her blood sample were taken yesterday 18324
we were waiting for slide observation report 
but now in this condition what will we do
can we give a dec",negative
https://www.youtube.com/watch?v=xBaoi3cwXiE,2 years ago,My wife is suffering from filariasis.i want treatment her. Please suggest me,,filariasis,my wife is suffering from filariasisi want treatment her please suggest me,negative
https://www.youtube.com/watch?v=xBaoi3cwXiE,3 years ago,"Hi Shivam
Filariasis के लिए, हम surgery या operation की सलाह नहीं देते हैं। क्योंकि यह अप्रभावी है और surgery बाद भी filariasis फिर से हो सकता है। इसलिए IAD में हम इन रोगियों के लिए Integrated Treatment  प्रदान करते हैं, जिससे Filariasis का खतरा कम हो सकता है। हमें यह कहते हुए खुशी हो रही है कि हमारे कई रोगियों ने इलाज के बाद पैरोंके आकार में लगभग 80% की कमी पाई है।



Filariasis ke liye, ham surgery ya oparation ke salaah nahin dete hain. kyonki yah aprabhaavee hai aur surgery ke baad bhee Filaria phir se ho sakata hai. is liye IAD me ham Integrated Treatment pradaan karate hain, jis se Filaria ka khatara kam ho sakata hai. hamen yah kahate hue khushi ho rahi hai ki hamare kayi patient ne ilaaj ke baad paironke aakaar mein lagabhag 80% kee kamee payi hai.",,filariasis,"hi shivam
filariasis क लए हम surgery य operation क सलह नह दत ह कयक यह अपरभव ह और surgery बद भ filariasis फर स ह सकत ह इसलए iad म हम इन रगय क लए integrated treatment  परदन करत ह जसस filariasis क खतर कम ह सकत ह हम यह कहत हए खश ह रह ह क हमर कई रगय न इलज क बद परक आकर म लगभग 80 क कम पई ह



filariasis ke liye ham surgery ya oparation ke salaah nahin dete hain kyonki yah aprabhaavee hai aur surgery ke baad bhee filaria phir se ho sakata hai is liye iad me ham integrated treatment pradaan karate hain jis se filaria ka khatara kam ho sakata hai hamen yah kahate hue khushi ho rahi hai ki hamare kayi patient ne ilaaj ke baad paironke aakaar mein lagabhag 80 kee kamee payi hai",neutral
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,Sir I have filariasis from 8 years how can I get completely remove from it please tell me,,filariasis,sir i have filariasis from 8 years how can i get completely remove from it please tell me,positive
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,sir my father age is 73yrs he suffering from filariasis last 50yrs.last 15 days he is not able t o walk.he telling his leg is sleeping and he is not able to control his leg now.we need to take treatment in IAD .,,filariasis,sir my father age is 73yrs he suffering from filariasis last 50yrslast 15 days he is not able t o walkhe telling his leg is sleeping and he is not able to control his leg nowwe need to take treatment in iad,negative
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,"Thank you very much for approaching us.
If possible kindly visit us. Our address is given below. 
You can also contact us through our WhatsApp Number and share few photographs of the affected limb.  Our team will evaluate the condition and guide you accordingly.
We have to assess the condition before estimating the cost. The treatment cost is depends on the size and circumference of the limb, duration of treatment, time needed to manage the condition, materials, and medicines required. 
For Lymphedema (including Lymphatic Filariasis) it ranges from Rs. 40,000 to Rs. 85,000.
Feel free to contact us. Our contact details are below 
WhatsApp No: 09895588735
e-mail ID : iadorg@gmail.com
Our Address
Institute of Applied Dermatology
MP XVII/779, Uliyathadka,Madhur Road, Kasaragod-671124 ,Kerala ,  India",,filariasis,"thank you very much for approaching us
if possible kindly visit us our address is given below 
you can also contact us through our whatsapp number and share few photographs of the affected limb  our team will evaluate the condition and guide you accordingly
we have to assess the condition before estimating the cost the treatment cost is depends on the size and circumference of the limb duration of treatment time needed to manage the condition materials and medicines required 
for lymphedema including lymphatic filariasis it ranges from rs 40000 to rs 85000
feel free to contact us our contact details are below 
whatsapp no 09895588735
email id  iadorgcom
our address
institute of applied dermatology
mp xvii779 uliyathadkamadhur road kasaragod671124 kerala   india",positive
