video,time,text,likes,term
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Dengue treatment share kare,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Aap ne 25 din pahle hi bata diya tha dengue tsunami k baare  me,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Aap bilkul sahi bataye hamesa corona me bhi aur aaj dengue k time bhi you are great,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Hamare yha allahabd mai dengue k patient ko orange juice chada diye bataeye aaj kl doctor,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Patanjali giloy advance vati regular lijiye no tension for Dengue,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Don't take meftal complication can Rise in dengue just take lot of electrol coconut water ,sponging can help, fluids as paracetomal only decreases by a degree,high grade fever in dengue shall remain for 3 days u can't help it. Its a very stubborn fever in First few days",,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Thank you sir for dengue fever topic
Good night sir 🙏🏼",,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"Sir, T cyte syrup le sakte hain Dengue mein?",,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Sukriya sirji dengue ka achchi jakari k liye. Shubh ratri sir🙏,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Thank you sir for dengue fever topic. Nice information.,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,Sir itiching bhi hoti hai kya dengue ke recovery phase mei.,,dengue
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,Sir  2saal phele dengue hua tha....plate late 20k tak gayi thi....kya antibody banni hogi mere aandar🙏🙏,,dengue
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,"Three varient of dengue
Antibody developed only one varient",,dengue
https://www.youtube.com/watch?v=m3fgCfTk0wc,3 years ago,Sir 2 baar dengue ho chuka hai ab na ho bs 😅,,dengue
https://www.youtube.com/watch?v=8zXVlGCx-N4,2 years ago,"In Pakistan, dengue fever is on rise more than ever before",,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,sir mujhe dengue h aur fever continue 4 days se aaraha h kabhi 102 kabhi 101 kabhi kabhi 99 bhi ho jata h mai sirf paracetamol hi liya hun aur bohat sara liquid bhi le rha hun aur dusra koi bhi symptom nhi hai jaise pet dard bhi nhi hai kamjori bhi nhi h jyada sirf pairo m drd h thoda bs fever nhi ja rha h platlates 3rd 62000 aayi h thoda sa guide kr dijiyega ya fir continue aane vale dengue fever pr ek video bana dijiyeg .. plz sir..........,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Calcutaa mai belaghata ka swasthya karmic dengue se Mara isi dengue se Mara school 🏫 student dengue se mara 😑 etc har hafte dengue se log mar rahe hai?,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Kya dengue fever me  Antibiotics medicine le sakte hai,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago (edited),"Sir can a dengue patient get black stool by eating iron tablet and beetroot, please suggest",,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago (edited),Dengue virus ( Arbo virus family ) has mainly 4 serotypes (5th one not isolated ) . Majority of the time when you get reinfected along with a different serotype then only you have higher chances of developing DSS or DHF . Btw dengue also have Saddleback fever pattern meaning biphasic fever with an initial peak that remits and appears again after some days like what we have seen in many cases of covid .,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Hello sir ji.. agar patient ko dubara dengue hua to ..kya hota hai.. kya uske antibodies antigen ke  against kam karte hai kya...  Mene bass suna hai.. please clear kare sir ji,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Dengue pehle ekbar  ho chuka , firse dengu hine se jan bachneka chace kitna  hay sir ?",,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Sir , is it safe to take calpol to control fever in dengue patient ? Since calpol contains a pain killer component. Please  reply yes or no 🙏",,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Jo ye bata rahe hain serious lo jo smjha rahe hain samjh lo ye to khud allopath ki khamiyan nikalte hain aisa allopathic knowledgeable Dr bht kam Dr milte hain bat ye hai ki inke guru sir Dr kk agrawal ji the jb guru dronacharya honge to sisya Arjun hi hoga baki jisko dengue ho jaye to inko mt follow krna na pcm lena bs biswaroop bhagwan ji dwara batai dip diet khate rhna jb mamla gambhir ho jaye tb aa jana allopath me tb tk case bigad Chuka hoga kitne log isi me is bar chale gaye Inka to sukragujar hona chahiye🙏🙏🙏,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,"Dengue is life threatening. 

We take it easily.,dangerous. 

Thank you Dr Sahab for good advice 


Jay hind",,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir dengue ka peak kab aane ka chance hai delhi and western UP mai,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Dengue ka specific treatment kya hai ...ya dengue ka koi ilaaj nhi h kewal symptomatic treatment kiya jata hai ?,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir dengue k brand ambassador ban jao,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir ye dengue kab tak jayega,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Bhukaar atta hai toh kidney din mai dengue test karana,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Sir mjhe sirf fever hai aur dengue aur typhoid dono diagnose hua hai...koi aur symptoms nahi hai....kya mjhe satark ho jana cahiye ya jo medicayion doctor ne dia hai wo hi kaafi hai,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Mjhe kal dengue diagnose hua hai....per mjhe sirf fever aa raha hai aur koi symptoms nahi hai,,dengue
https://www.youtube.com/watch?v=BVIrZIOoZU0,2 years ago,Dengue ka machhar night mein bhi hota hai abhi ye bhi new virus aya hai 🙏👍🌷,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mere husband one week se dengue is khatranak bimarise suffer kar rahe hai.
Unka platelets 1:30 hai down hote jare .. plz bolIye me kya karu",,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Antibiotics are suitable for dengue patients or not boss?,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr.sahab m.p. Dengue k lakshan dikh rahe the janch me kuch hi nhi nikla pletes kam ho gayi h khana bilkul bhi achha nahi lagta kya kare,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Mujhe dengue test positive.. Tha.....per plateus  kam nhi hua..,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Sir mein last year dengue me 28,000 platelet count me ghr me baitha hua tha n uske bd medi li ghr me hi sir recover ho gya shayad mein gym me jaata tha isly",,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Sbse bade dengue tum ho,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Patanjali ka rambaan .....sadang....kisi bhi patanjali store pe miljaayegaa.....dengue mein day first se start ...karein...cytrus fruit khaayein......aaraam poora karein.....koi bhi physical ya mental work se poori tarah alag ho jaayein.....drink Luke warm water .....sadang ko bhi Luke warm water se lein .............8 days mein body recover ho jaayegi.......... knowledge ko aage bhi share karein...,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mujhe dengue hua to pata chala,,bahut painful hota hai,,but thanks god i m well now🙏bhagwan sabhi ko jaldi thik kar de...aur sabhi ko safe rkhe🙏🙏pls take care all😊",,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr sahab abhi 15din phale meri beti ko dengue huwa tha ..ab wo thik hai platelets 218000 fourth test mai aayi...ab mujhe uska liver test karwana chahiye kya plz sir bataiye🙏🙏,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Mujhe 2014 me Nimisulide tab lene se malaria & dengue mix tha, shirf 13000 platelatecount hi gaye the, baad hospital me admit huva to thik yuva
Sahi baat he pain killer dawa nahi leni chahiye 👍👍",,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dengue me Lariago tab le sakte h kya,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dengue is spreading like fire,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,But mujhe dengue hua tha to doctor ne 3 days Meftal forte diya tha. Kya Meftal forte bhi utni hi dangerous hai in dengue.,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Aapko kuch nahi hua mere bete ko dengue mai hospital mai yahi meftal p diya tha.,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Not in dengue,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,Dr Sahib you are also wearing a half sleeves please be careful and wear full sleeves shirt for safeguard against dengue fever !!!!,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago, @allrounder9294  नही भाई dexona ek steroid hai jo dengue ke patient ko nhi diya jata,,dengue
https://www.youtube.com/watch?v=ODizg-zYGEw,2 years ago,"Sir humidity toh hai nhi na barish Hui h ,fir dengue kyu ho raha",,dengue
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,"Dengue k patients ko Hari papita ka patta ka   juice,  aur bakri ka dudh(Bina boil k), kivi fal khilao din me 3 se 4 baar. 
Aur juice khub pilao. Patients thik ho jayega.",,dengue
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Alert  high alert dengue fever break out in up please drink warm water regularly and eat healthy food,,dengue
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Dengue patient ka mazak bana rahe ho..,,dengue
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,It´s not dengue and for it you shoud drink nettle tea.,,dengue
https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,Dengu ki bimariyan to Gujarat ke andar bhi Jod se pakdi hai Hamare dost ke ladke ko dengue ho gaya tha Private hospital mein ki kaarvayi Humne uska kharcha Kari Bam 450000 Upar Ho Gaya,,dengue
https://www.youtube.com/watch?v=XSPdjoS6MQE,2 years ago,"Thanku so much  for the information sir , 🙏 mere beti ko 1 bar dengue ho chuki hai ,please share some more information",,dengue
https://www.youtube.com/watch?v=jiMoIKjde38,5 years ago,Chikungunya Virus Easy Home Treatment https://youtu.be/wR4pIHolt6M,,chikungunya
https://www.youtube.com/watch?v=KalenYcE5aY,8 years ago,chikungunya es bakchod neha ho hona chaiye,,chikungunya
https://www.youtube.com/watch?v=KalenYcE5aY,8 years ago,hadd hai yaar dalip panday ke...agar LG supreme hai aur app log kuch nahi kar sakte toh resign kar na kyu free ke paise bana rahe ho kyu 2.5 lakh salary le rahe ho...arey dono mcd aur delhi sarkar kei zimedari hai...dengue ke machar gande pani mein nahi hote..saf pani ji leak hota hai water pipe line sei woh toh jal board ke under atta hai...shame on this politics ke Supreme court ke judgement de ham kuch nahi karenge LG jo bolega woh karenge,,dengue
https://www.youtube.com/watch?v=vhbzVw9_1Hs,9 months ago,"Hi, 
Your son can get treatment at our centre. We treat filariasis with integrative treatment combining allopathy, ayurveda, yoga and diet.  If possible kindly visit us. To book an appointment please get in touch with Ph:+91 8590125313 / + 91 8547934863
You can also contact us through our whatsApp number and share some photographs of the affected limbs. Our team will evaluate the condition and explain to you the treatment options available in IAD.
WhatsApp Number: 09895588735 Email ID: iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,1 year ago,"Respect Sir 
Myself Dr Prashant D Bisen (B.A.M.S.)I am A Community Health Officer IN Maharashtra State
I Have 1 Patient of Age 45 year she develope swelling Of Both Leg since 2 month 
Itching in Body
Pain / Discomfort in lower Abdomen
I Suspected Her For Lymphatic Filariasis 
Her blood sample were Taken Yesterday 18/3/24
We were waiting for Slide Observation Report 
But Now in This Condition what will we Do
Can We give a DEC",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,2 years ago,My wife is suffering from filariasis.i want treatment her. Please suggest me,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,3 years ago,"Hi Shivam
Filariasis के लिए, हम surgery या operation की सलाह नहीं देते हैं। क्योंकि यह अप्रभावी है और surgery बाद भी filariasis फिर से हो सकता है। इसलिए IAD में हम इन रोगियों के लिए Integrated Treatment  प्रदान करते हैं, जिससे Filariasis का खतरा कम हो सकता है। हमें यह कहते हुए खुशी हो रही है कि हमारे कई रोगियों ने इलाज के बाद पैरोंके आकार में लगभग 80% की कमी पाई है।



Filariasis ke liye, ham surgery ya oparation ke salaah nahin dete hain. kyonki yah aprabhaavee hai aur surgery ke baad bhee Filaria phir se ho sakata hai. is liye IAD me ham Integrated Treatment pradaan karate hain, jis se Filaria ka khatara kam ho sakata hai. hamen yah kahate hue khushi ho rahi hai ki hamare kayi patient ne ilaaj ke baad paironke aakaar mein lagabhag 80% kee kamee payi hai.",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,Sir I have filariasis from 8 years how can I get completely remove from it please tell me,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,sir my father age is 73yrs he suffering from filariasis last 50yrs.last 15 days he is not able t o walk.he telling his leg is sleeping and he is not able to control his leg now.we need to take treatment in IAD .,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,"Thank you very much for approaching us.
If possible kindly visit us. Our address is given below. 
You can also contact us through our WhatsApp Number and share few photographs of the affected limb.  Our team will evaluate the condition and guide you accordingly.
We have to assess the condition before estimating the cost. The treatment cost is depends on the size and circumference of the limb, duration of treatment, time needed to manage the condition, materials, and medicines required. 
For Lymphedema (including Lymphatic Filariasis) it ranges from Rs. 40,000 to Rs. 85,000.
Feel free to contact us. Our contact details are below 
WhatsApp No: 09895588735
e-mail ID : iadorg@gmail.com
Our Address
Institute of Applied Dermatology
MP XVII/779, Uliyathadka,Madhur Road, Kasaragod-671124 ,Kerala ,  India",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,4 years ago,"Dear Biki Saha
Thank you very much for approaching us
We have to accept the fact that there is no permanent cure for Lymphatic Filariasis/Lymphedema. But it can be managed.  With Integrative treatment here in IAD we could reduce the the risk of Filariasis.  
We are glad to say that many of our patients found nearly 80% of reduction in limb size after the treatment

Our team of doctors is available on WhatsApp. You can contact them via WhatsApp or via email. Team will respond you immediately. 
Contact details are given below
WhatsApp No: 09895588735
e-mail ID : iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,5 years ago,"Hi,
There is no permanent cure for Lymphatic Filariasis/Lymphoedema. But it can be managed with Integrative treatment.  Treatment duration depends upon the limb size.  Kindly contact us through whatsup number and share few photographs of the affected limb. 
These photographs will help us to evaluate the condition based on that we will guide you.     
Whtasup No: 09895588735
e-mail ID: iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,5 years ago,Sir i m frm odisha nd one of my cousin has filariasis ...how do i contact u and what will be the treatment cost,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,5 years ago,Sir i m frm odisha nd one of my cousin has filariasis ...how do i contact u and what will be the treatment cost,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago (edited),sir i am RAMESH from AP I had a filariasis please help me,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,Sir mujhe filariasis hai 6 years per kafi mota hai help me,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,There is no permenent cure for lymphoedema/filariasis. Swelling will reduce significantly with regular treatment. Kindly send your photos of affected area for evaluation either by mail to iadorg@gmail.com or whats app to 9895588735. We will evaluate your condition and let you know regarding treatment details.,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,"Hello Neha Hansdal, 

Hum Lymphatic filariasis ke liye massage, yoga aur compression methods ko milakar ek treatment protocol develop kiya hain. Aapko 14 ya 21 days ka treatment IAD mein hum dhenge, baad mein aap yeh treatment ghar mein chalu karna hain. Yeh treatment lene se soojan, filarial fever aur weight kam hojayega, lekin aap yeh treatment ghar mein bhi continue karna padega.  

Zyaada jaankari ke liye humare treatment experts se direct phone par baath kijiye. Phone Number : 04994240862, 04994240863, 09895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,"Hello  Neha Hansda , Hamara treatment home based self-care treatment he. Yeh treatment ghar mein bhi continue karna he, tho swelling kamm ho jayega. Yeh treatment hathi paun (Filariasis), fever ko control kartha hain. Is number par call kare aur hamare treatment experts se direct baath kare. Woh aapke sabhi doubts ko clear karenge : +914994240862, +914994240863, +919895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,"Hello Kanchi Ramesh,

Hum Lymphatic filariasis ke liye massage, yoga aur compression methods ko milakar ek treatment protocol develop kiya hain. Aapko 14 ya 21 days ka treatment humare treatment centre (Kasaragod, Kerala) mein hum dhenge aur sikhayenge ki kaise karna hein. Baad mein, aap yeh treatment ghar mein jaake continue karna hein. 

Yeh treatment lene se soojan, filarial fever aur weight kam hojayega, lekin aap yeh treatment ghar mein bhi continue karna padega. 

Zyaada jaankari ke liye humare treatment experts se direct phone par baath kijiye. Phone Number : 04994240862, 04994240863, 09895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,"HelloTharan Das Kurrey,

Hum Lymphatic filariasis ke liye massage, yoga aur compression methods ko milakar ek treatment protocol develop kiya hain. Aapko 14 ya 21 days ka treatment IAD mein hum dhenge aur sikhayenge ki kaise karna hein. Baad mein, aap yeh treatment ghar mein jaake continue karna hein. 

Yeh treatment lene se soojan, filarial fever aur weight kam hojayega, lekin aap yeh treatment ghar mein bhi continue karna padega. 

Zyaada jaankari ke liye humare treatment experts se direct phone par baath kijiye. Phone Number : 04994240862, 04994240863, 09895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,6 years ago,"Hello Sunil Barnwal,

Hum Lymphatic filariasis ke liye massage, yoga aur compression methods ko milakar ek treatment protocol develop kiya hain. Aapko 14 ya 21 days ka treatment IAD mein hum dhenge, baad mein aap yeh treatment ghar mein chalu karna hain. Yeh treatment lene se soojan, filarial fever aur weight kam hojayega, lekin aap yeh treatment ghar mein bhi continue karna padega.

Zyaada jaankari ke liye humare treatment experts se direct phone par baath kijiye. Phone Number : 04994240862, 04994240863, 09895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,7 years ago,Filariasis sirf medicine lene se kam nahi hojayega. Isiliye hum ne integrated treatment develop kiya hain. hamara treatment ka jaankari ke liye is link mein jaayiye. https://www.youtube.com/watch?v=zjvoFHCat8w&t=6s,,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,7 years ago,"Hello Shahana,

Lymphoedema 2 tharah ke hote hein: Primary aur Secondary. Yadhi Maa ko Primary Lymphoedema he tho disease baby ko bhi ho sakta hein. Ye pregnancy ke time me ya bachcha 10-15 years hone ke baad (Puberty mein) ho sakta hein. 

Lekin, yadhi Maa ko Secondary Lymphoedema ya Filariasis he tho disease baby ko nahi hoga. Filariasis sirf active period mein machchar se hi pheyl sakta he.

Zyaada jaankari ke liye humare treatment experts se baath ki jiye. Phone: 04994240862, 04994240863, 09895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,7 years ago,"Dear Piyush,

Hamara Institution filariasis ke liye modern medicine, ayurveda, homoeopathy aur yoga ke laabhdhaayak amshom samyog kar ke ""Integrative Medicine"" treatment develop kiya hein. Jaankari ke liye hamara website www.iad.org.in visit kijiye ya  hamare treatment experts se direct baath kariye : +914994240862, +914994240863, +919895588735",,filariasis
https://www.youtube.com/watch?v=xBaoi3cwXiE,7 years ago,"Hello ma'm,

Lymphoedema occurs due to damage of the lymphatic vessels. There is dilatation of lymph vessels and normal contractibility is lost (lymphatic vessels carry lymph; its damage causes improper drainage that results in oedema/swelling). Our treatment procedures result in the drainage of lymph, possibly through collateral circulation. As is the case in heart diseases and diabetes, lymphoedema is also not completely curable but we have observed that, following treatment, control of infection and a significant reduction in swelling occurs due to which the patient can return to normal activities. For best results, Lymphoedema/Filariasis patients have to be on long term and often life-long treatment.",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,1 year ago,Are they also treated with ivermectin’s to kill the parasites which cause lymphatic Filariasis?,,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,1 year ago,Can we know the cost for filariasis treatment,,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,2 years ago,i am are infected with this filariasis,,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,11 months ago,"We have two centres in Patna
Address is given below

IAD-Filariasis Treatment Unit - Begusarai
Govt. Ayodhya Shivkumari Ayurved College & Hospital
Suhrid Nagar, Begusarai, Bihar- 851218
Contact No: 9567253334. Email gasay.iadksd@gmail.com

IAD-Treatment Unit - Patna
Govt. Tibbi College & Hospital Patna
Arya Rd, Budh Murti, New Area
Kadamkuan, Patna, Bihar 800003
Phone: 9567403334 Email: iadksdpatna@gmail.com",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,1 year ago,"The triple therapy contains Tab Albendazole 400 mg, Tab Diethyl carbemazine citrate 300 mg and tab Ivermectine 9 mg, usually used to kill the parasite, which is widely distributed in endemic areas of lymphatic filariasis
In IAD, a combination of medications according to to the symptoms will be prescribed by the dermatologist.  If it is needed ivermectin will also be prescribed.",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,1 year ago,"Hi,
 It is accepted fact that  Filariasis cannot be cured completely  but it can be managed.
With Integrative treatment here in IAD we could reduce the the risk of Filariasis.  
We are glad to say that many of our patients found nearly 80% of reduction in limb size after the treatment.",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,1 year ago,"We have to accept the fact that there is no permanent cure for Lymphatic Filariasis/Lymphedema. But it can be managed.  With Integrative treatment here in IAD we could reduce the risk of Filariasis.  
We are glad to say that many of our patients found a nearly 80% reduction in limb size after the treatment
For more information kindly contact us   
WhatsApp No: 09895588735
e-mail ID: iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,2 years ago,"Hi,
Please visit our centre. We treat filariasis with Integrative treatment combining allopathy, ayurveda, yoga and diet. We successfully treated more than 5000+ patients with this unique treatment protocol. Kindly note down our contact details
To book an appointment kindly contact   Ph:+91 8590125313 / + 91 854793483
WhatsApp No: 09895588735
Email ID: iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,2 years ago,"नमस्ते,
 यह सच है कि फाइलेरिया को पूरी तरह से ठीक नहीं किया जा सकता है लेकिन इसे प्रबंधित किया जा सकता है।
यहां IAD एकीकृत (Integrated )उपचार से हम फाइलेरिया के खतरे को कम कर सकते हैं।
हमें यह कहते हुए खुशी हो रही है कि हमारे कई रोगियों ने इलाज के बाद अंगों के आकार में लगभग 80% की कमी पाई है।
 इलाज के बारे में अधिक जानने के लिए आप हमसे व्हाट्सएप या ईमेल के जरिए संपर्क कर सकते हैं।
WhatsApp No: 09895588735
E-mail ID: iadorg@gmail.com
Our Address:
Institute of Applied Dermatology
MP XVII/779, Uliyathadka, Madhur Road, Kasaragod-671124 ,Kerala

Hi,
 It is accepted fact that  Filariasis cannot be cured but it can be managed. 
With Integrative treatment here in IAD we could reduce the the risk of Filariasis.  
We are glad to say that many of our patients found nearly 80% of reduction in limb size after the treatment.
To know more about our treatment procedures kindly contact us 
WhatsApp No: 09895588735
E-mail ID: iadorg@gmail.com
Our Address:
Institute of Applied Dermatology
MP XVII/779, Uliyathadka, Madhur Road, Kasaragod-671124 ,Kerala",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,3 years ago,"Lymphatic Filariasis causes lymphoedema in millions across the developing world but the treatment facility is very limited. People from various countries visit IAD for treatment. We also offer online consultations.
Our contact details are below 
WhatsApp No: 09895588735
e-mail ID : iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,3 years ago,"Hi Vijaya Bhaskar,
We have to asses the condition before estimating the cost.
The treatment cost depends on the size and circumference of limb, duration of treatment, time needed to manage the condition, materials and medicines needed. 
For Lymphedema (including Lymphatic Filariasis) it ranges from Rs. 40,000 to Rs. 85,000.
For more information,  feel free to contact us. Our contact details are:
WhatsApp No: 09895588735
e-mail ID : iadorg@gmail.com",,filariasis
https://www.youtube.com/watch?v=zjvoFHCat8w,4 years ago,"We are expert in treating patients suffering from Lymphatic Filariasis/Lymphoedema with Low cost, homebased, self-care treatment.  So far we have treated more than 5000 lymphatic Filariasis patients. To know know more about our treatment protocol kindly contact us. Our contact details are below
WhatsApp No : 09895588735
e-mail ID        : iadorg@gmail.com",,filariasis
